Issue ID,Issue Name,Stance ID,Database ID,Statement,Reference URL,Locale
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc1NjM=,9077563,"Congestion on our roadways is top of mind for everyone in our District, and is a persistent impediment to economic success and daily burden on our families. As your Senator, I will work with VDOT to widen our roadways and take a hard look at our traffic patterns to better optimize flow. I will fight to bring home funding in the budget for these vital road improvements. ",https://tumayforva.com/issues/,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc4MDM=,9077803," Improving public transportation to better connect Northeast Minneapolis, Riverside, and the University of Minnesota community.",https://www.votejama.com/priorities,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc3MDc=,9077707,"Transportation should be a public service, so let’s provide reliable, safe, and accessible bus, light rail, and biking alternatives!",https://www.emiliorodriguez.org/platform,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc2OTk=,9077699,"Pushing MNDOT to bring back consideration of the Twin Cities Boulevard that would support public transit, biking and walking and repair the harms done by I-94’s destruction of Rondo and other neighborhoods.",https://www.peterwagenius.org/priorities,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc2OTU=,9077695,"Making transportation affordable and accessible for everyone, which helps people get to work, school, and healthcare appointments—improving quality of life while reducing inequities.",https://www.peterwagenius.org/priorities,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc2OTI=,9077692,Working to reform the Met Council to make it into a more accountable and responsible body.,https://www.peterwagenius.org/priorities,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc2ODI=,9077682,"Accelerating the rollout of EV charging infrastructure and electric busses, especially those produced here in Minnesota.",https://www.peterwagenius.org/priorities,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc2Njc=,9077667,Ensure future transit funding goes toward increasing the frequency and reliability of public transit.,https://www.monicameyermn.com/vision,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc2Mzc=,9077637,"Amal supports modernizing Minnesota’s transportation system to be sustainable, equitable, and efficient.",https://www.amalforsenate.org/amals-policy-platform,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc2Mjc=,9077627,"She will prioritize investments in public transit, bike- and pedestrian-friendly infrastructure, and rural road improvements.",https://www.amalforsenate.org/amals-policy-platform,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc2MDU=,9077605,I support making the 32 (Lowry Ave) and the 4 (Johnson St & Hennepin Ave) Bus Rapid Transit routes.,https://www.doronforsenate.org/priorities#education-for-all,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc1ODc=,9077587,I support making transit fare free. A fare free pilot of the 32 showed that taking away the barrier of payment increased ridership and gave my children freedom to roam the city.,https://www.doronforsenate.org/priorities#education-for-all,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc1NzY=,9077576,I will fight for a robust transit system because we cannot effectively transition away from car culture without it.,https://www.doronforsenate.org/priorities#education-for-all,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc1Mjg=,9077528,"Northwest Florida has good “show-teeth,” the beautiful interstates and immaculate bridges. But I will bring in funding for infrastructure rejuvenation where it’s needed most – the parks, communities, and neighborhoods.",https://michaeldylanthompsonforcongress.com/,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc1NDI=,9077542,CONTINUE record investments in traffic-reducing projects.,https://www.voterandyfine.com/,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc4ODA=,9077880,I will fight for a robust transit system because we cannot effectively transition away from car culture without it.,https://www.doronforsenate.org/priorities#education-for-all,en
Z2lkOi8vYmFsbG90LWZhY3RvcnkvSXNzdWUvMzA=,Infrastructure / Transportation,Z2lkOi8vYmFsbG90LWZhY3RvcnkvU3RhbmNlLzkwNzc4Njk=,9077869,I support making transit fare free. A fare free pilot of the 32 showed that taking away the barrier of payment increased ridership and gave my children freedom to roam the city.,https://www.doronforsenate.org/priorities#education-for-all,en
